Federal_Provider_Number,Provider Name,Provider Address,Provider City,Provider State,Provider Zip Code,Survey Date,Survey Type,Deficiency Prefix,Deficiency Category,Deficiency Description,Deficiency Tag Number,Scope Severity Code,Deficiency Corrected,Correction Date,Inspection Cycle,Standard Deficiency,Complaint Deficiency,Location,Processing Date,,
465163,NORTH CANYON CARE CENTER,350 SOUTH 400 EAST,BOUNTIFUL,UT,84010,06/08/2017 12:00:00 AM,Health,false,Environmental Deficiencies,"Have a program that investigates, controls and keeps infection from spreading.",441,D,"Deficient, Provider has date of correction",06/20/2017 12:00:00 AM,3,true,false,"350 SOUTH 400 EAST BOUNTIFUL, UT 84010 (40.885771, -111.87236)",04/01/2020 12:00:00 AM,,
465137,RED CLIFFS HEALTH AND REHAB,1745 EAST 280 NORTH,ST GEORGE,UT,84790,01/09/2020 12:00:00 AM,Health,false,Resident Rights Deficiencies,"Immediately tell the resident, the resident's doctor, and a family member of situations (injury/decline/room, etc.)  that affect the resident.",580,E,"Deficient, Provider has date of correction",02/20/2020 12:00:00 AM,1,true,false,"1745 EAST 280 NORTH ST GEORGE, UT 84790 (37.113132, -113.546401)",04/01/2020 12:00:00 AM,,
46A058,FAIRVIEW CARE CENTER EAST,455 SOUTH 900 EAST,SALT LAKE CITY,UT,84102,05/24/2018 12:00:00 AM,Health,false,Nutrition and Dietary Deficiencies,"Ensure food and drink is palatable, attractive, and at a safe and appetizing temperature.",804,E,"Deficient, Provider has date of correction",07/27/2018 12:00:00 AM,2,true,false,"455 SOUTH 900 EAST SALT LAKE CITY, UT 84102 (40.759218, -111.865329)",04/01/2020 12:00:00 AM,,
465157,MILLARD COUNTY CARE AND REHABILITATION,150 SOUTH WHITE SAGE AVENUE,DELTA,UT,84624,05/10/2016 12:00:00 AM,Health,false,Resident Assessment and Care Planning Deficiencies,"Develop a complete care plan that meets all the resident's needs, with timetables and actions that can be measured.",279,D,"Deficient, Provider has date of correction",06/30/2016 12:00:00 AM,3,true,false,"150 SOUTH WHITE SAGE AVENUE DELTA, UT 84624 (39.349923, -112.560183)",04/01/2020 12:00:00 AM,,
465152,BELLA TERRA ST GEORGE,178 SOUTH 1200 EAST,ST GEORGE,UT,84790,11/21/2019 12:00:00 AM,Health,false,Quality of Life and Care Deficiencies,Ensure that a nursing home area is free from accident hazards and provides adequate supervision to prevent accidents.,689,D,"Deficient, Provider has date of correction",01/07/2020 12:00:00 AM,1,true,false,"178 SOUTH 1200 EAST ST GEORGE, UT 84790 (37.105013, -113.557846)",04/01/2020 12:00:00 AM,,
465178,STONEHENGE OF AMERICAN FORK,538 SOUTH 500 EAST,AMERICAN FORK,UT,84003,03/29/2017 12:00:00 AM,Health,false,Quality of Life and Care Deficiencies,"Ensure that each resident who enters the nursing home without a catheter is not given a catheter, unless medically necessary, and that incontinent patients receive proper services to prevent urinary tract infections and restore normal bladder functions.",315,D,"Deficient, Provider has date of correction",05/26/2017 12:00:00 AM,3,true,false,"538 SOUTH 500 EAST AMERICAN FORK, UT 84003 (40.366507, -111.785464)",04/01/2020 12:00:00 AM,,
465146,AVALON VALLEY REHABILITATION,2472 SOUTH 300 EAST,SALT LAKE CITY,UT,84115,11/26/2019 12:00:00 AM,Health,false,"Freedom from Abuse, Neglect, and Exploitation Deficiencies","Protect each resident from all types of abuse such as physical, mental, sexual abuse, physical punishment, and neglect by anybody.",600,G,"Deficient, Provider has date of correction",01/17/2020 12:00:00 AM,1,true,true,"2472 SOUTH 300 EAST SALT LAKE CITY, UT 84115 (40.717553, -111.882612)",04/01/2020 12:00:00 AM,,
46A071,"LOMOND PEAK NURSING AND REHABILITATION, LLC",524 EAST 800 NORTH,OGDEN,UT,84404,11/15/2018 12:00:00 AM,Health,false,Quality of Life and Care Deficiencies,"Provide the appropriate treatment and services to a resident who displays or is diagnosed with mental disorder or psychosocial adjustment difficulty, or who has a history of trauma and/or post-traumatic stress disorder.",742,H,"Deficient, Provider has date of correction",01/04/2019 12:00:00 AM,3,true,true,"524 EAST 800 NORTH OGDEN, UT 84404 (41.272092, -111.966274)",04/01/2020 12:00:00 AM,,
465139,LIFE CARE CENTER OF SALT LAKE CITY,1201 EAST 4500 SOUTH,SALT LAKE CITY,UT,84117,10/11/2018 12:00:00 AM,Health,false,Resident Rights Deficiencies,"Immediately tell the resident, the resident's doctor, and a family member of situations (injury/decline/room, etc.)  that affect the resident.",580,D,"Deficient, Provider has date of correction",11/09/2018 12:00:00 AM,2,true,false,"1201 EAST 4500 SOUTH SALT LAKE CITY, UT 84117 (40.674302, -111.857018)",04/01/2020 12:00:00 AM,,
465160,CORAL DESERT REHABILITATION AND CARE,"1490 EAST FOREMASTER DRIVE, BUILDING B",ST GEORGE,UT,84790,04/25/2019 12:00:00 AM,Health,false,Quality of Life and Care Deficiencies,"Provide safe, appropriate pain management for a resident who requires such services.",697,D,"Deficient, Provider has date of correction",06/10/2019 12:00:00 AM,1,true,false,"1490 EAST FOREMASTER DRIVE ST GEORGE, UT 84790 (37.096215, -113.551904)",04/01/2020 12:00:00 AM,,
465165,MISSION AT MAPLE SPRINGS,1010 SOUTH MEDICAL DRIVE,BRIGHAM,UT,84302,06/23/2016 12:00:00 AM,Health,false,Pharmacy Service Deficiencies,Provide routine and emergency drugs through a licensed pharmacist and only under the general supervision of a licensed nurse.,425,E,"Deficient, Provider has date of correction",08/01/2016 12:00:00 AM,3,true,false,"1010 SOUTH MEDICAL DRIVE BRIGHAM, UT 84302 (41.489426, -112.025927)",04/01/2020 12:00:00 AM,,
465184,CASCADES AT RIVERWALK,1012 WEST JORDAN RIVER BOULEVARD,MIDVALE,UT,84047,11/08/2018 12:00:00 AM,Health,false,Pharmacy Service Deficiencies,Ensure medication error rates are not 5 percent or greater.,759,E,"Deficient, Provider has date of correction",12/31/2018 12:00:00 AM,2,true,false,"1012 WEST JORDAN RIVER BOULEVARD MIDVALE, UT 84047 (40.623815, -111.920813)",04/01/2020 12:00:00 AM,,
465165,MISSION AT MAPLE SPRINGS,1010 SOUTH MEDICAL DRIVE,BRIGHAM,UT,84302,01/27/2020 12:00:00 AM,Health,false,Pharmacy Service Deficiencies,"Implement gradual dose reductions(GDR) and non-pharmacological interventions, unless contraindicated, prior to initiating or instead of continuing psychotropic medication; and PRN orders for psychotropic medications are only used when the medication is ne",758,D,"Deficient, Provider has date of correction",02/26/2020 12:00:00 AM,1,true,false,"1010 SOUTH MEDICAL DRIVE BRIGHAM, UT 84302 (41.489426, -112.025927)",04/01/2020 12:00:00 AM,,
46A058,FAIRVIEW CARE CENTER EAST,455 SOUTH 900 EAST,SALT LAKE CITY,UT,84102,08/05/2019 12:00:00 AM,Health,false,Quality of Life and Care Deficiencies,Ensure that a nursing home area is free from accident hazards and provides adequate supervision to prevent accidents.,689,D,"Deficient, Provider has date of correction",09/20/2019 12:00:00 AM,1,true,false,"455 SOUTH 900 EAST SALT LAKE CITY, UT 84102 (40.759218, -111.865329)",04/01/2020 12:00:00 AM,,
46A071,"LOMOND PEAK NURSING AND REHABILITATION, LLC",524 EAST 800 NORTH,OGDEN,UT,84404,04/27/2017 12:00:00 AM,Health,false,Pharmacy Service Deficiencies,Ensure that each resident's 1) entire drug/medication regimen is free from unnecessary drugs, and 2) is managed and monitored to achieve highest level of well-being.,329,E,"Deficient, Provider has date of correction",06/07/2017 12:00:00 AM,3,false,true,"524 EAST 800 NORTH OGDEN, UT 84404 (41.272092, -111.966274)",04/01/2020 12:00:00 AM,
465182,STONEHENGE OF OGDEN,5648 SOUTH ADAMS AVE,WASHINGTON TERRACE,UT,84405,03/16/2017 12:00:00 AM,Health,false,Pharmacy Service Deficiencies,Ensure that each resident's 1) entire drug/medication regimen is free from unnecessary drugs, and 2) is managed and monitored to achieve highest level of well-being.,329,D,"Deficient, Provider has date of correction",05/10/2017 12:00:00 AM,3,true,false,,04/01/2020 12:00:00 AM,
465163,NORTH CANYON CARE CENTER,350 SOUTH 400 EAST,BOUNTIFUL,UT,84010,08/30/2018 12:00:00 AM,Health,false,Quality of Life and Care Deficiencies,Ensure that a nursing home area is free from accident hazards and provides adequate supervision to prevent accidents.,689,G,"Deficient, Provider has date of correction",10/15/2018 12:00:00 AM,2,true,false,"350 SOUTH 400 EAST BOUNTIFUL, UT 84010 (40.885771, -111.87236)",04/01/2020 12:00:00 AM,,
465116,ROCKY MOUNTAIN CARE - LOGAN,1480 NORTH 400 EAST,LOGAN,UT,84341,08/11/2016 12:00:00 AM,Health,false,Pharmacy Service Deficiencies,Ensure that residents are safe from serious medication errors.,333,E,"Deficient, Provider has date of correction",09/16/2016 12:00:00 AM,3,true,false,"1480 NORTH 400 EAST LOGAN, UT 84341 (41.75881, -111.823986)",04/01/2020 12:00:00 AM,,
46A064,PINE CREEK REHABILITATION AND NURSING,876 WEST 700 SOUTH,SALT LAKE CITY,UT,84104,02/23/2017 12:00:00 AM,Health,false,Administration Deficiencies,Give or get quality laboratory services/tests in a timely manner to meet the needs of residents.,502,E,"Deficient, Provider has date of correction",04/07/2017 12:00:00 AM,3,true,false,"876 WEST 700 SOUTH SALT LAKE CITY, UT 84104 (40.754109, -111.916306)",04/01/2020 12:00:00 AM,,
465116,ROCKY MOUNTAIN CARE - LOGAN,1480 NORTH 400 EAST,LOGAN,UT,84341,01/11/2018 12:00:00 AM,Health,false,Pharmacy Service Deficiencies,"Implement gradual dose reductions(GDR) and non-pharmacological interventions, unless contraindicated, prior to initiating or instead of continuing psychotropic medication; and PRN orders for psychotropic medications are only used when the medication is ne",758,E,"Deficient, Provider has date of correction",01/31/2018 12:00:00 AM,2,true,false,"1480 NORTH 400 EAST LOGAN, UT 84341 (41.75881, -111.823986)",04/01/2020 12:00:00 AM,,
465157,MILLARD COUNTY CARE AND REHABILITATION,150 SOUTH WHITE SAGE AVENUE,DELTA,UT,84624,12/13/2018 12:00:00 AM,Health,false,Quality of Life and Care Deficiencies,"Provide appropriate treatment and care according to orders, resident�s preferences and goals.",684,E,"Deficient, Provider has date of correction",02/10/2019 12:00:00 AM,2,true,false,"150 SOUTH WHITE SAGE AVENUE DELTA, UT 84624 (39.349923, -112.560183)",04/01/2020 12:00:00 AM,,
465139,LIFE CARE CENTER OF SALT LAKE CITY,1201 EAST 4500 SOUTH,SALT LAKE CITY,UT,84117,07/13/2017 12:00:00 AM,Health,false,Quality of Life and Care Deficiencies,Develop policies and procedures for influenza and pneumococcal immunizations.,334,D,"Deficient, Provider has date of correction",08/24/2017 12:00:00 AM,3,true,false,"1201 EAST 4500 SOUTH SALT LAKE CITY, UT 84117 (40.674302, -111.857018)",04/01/2020 12:00:00 AM,,
465124,MIDTOWN MANOR,125 SOUTH 900 WEST,SALT LAKE CITY,UT,84104,08/29/2019 12:00:00 AM,Health,false,"Freedom from Abuse, Neglect, and Exploitation Deficiencies","Timely report suspected abuse, neglect, or theft and report the results of the investigation to proper authorities.",609,D,"Deficient, Provider has date of correction",10/28/2019 12:00:00 AM,1,true,false,"125 SOUTH 900 WEST SALT LAKE CITY, UT 84104 (40.76653, -111.916822)",04/01/2020 12:00:00 AM,,
465153,STONEHENGE OF CEDAR CITY,333 WEST 1425 NORTH,CEDAR CITY,UT,84721,04/25/2017 12:00:00 AM,Health,false,Nutrition and Dietary Deficiencies,"Store, cook, and serve food in a safe and clean way.",371,F,"Deficient, Provider has date of correction",06/20/2017 12:00:00 AM,3,true,false,"333 WEST 1425 NORTH CEDAR CITY, UT 84721 (37.703008, -113.067892)",04/01/2020 12:00:00 AM,,
465173,STONEHENGE OF RICHFIELD,125 EAST 600 NORTH,RICHFIELD,UT,84701,03/22/2018 12:00:00 AM,Health,false,Resident Assessment and Care Planning Deficiencies,"Ensure necessary information is communicated to the resident, and receiving health care provider at the time of a planned discharge.",661,D,"Deficient, Provider has date of correction",06/01/2018 12:00:00 AM,2,true,false,"125 EAST 600 NORTH RICHFIELD, UT 84701 (38.776536, -112.083405)",04/01/2020 12:00:00 AM,,
465143,CEDAR HEALTH AND REHABILITATION,411 WEST 1325 NORTH,CEDAR CITY,UT,84721,03/08/2018 12:00:00 AM,Health,false,Nutrition and Dietary Deficiencies,"Ensure therapeutic diets are prescribed by the attending physician and may be delegated to a registered or licensed dietitian, to the extent allowed by State law.",808,D,"Deficient, Provider has date of correction",04/06/2018 12:00:00 AM,2,true,false,"411 WEST 1325 NORTH CEDAR CITY, UT 84721 (37.701055, -113.068729)",04/01/2020 12:00:00 AM,,
465119,PROVO REHABILITATION AND NURSING,1001 NORTH 500 WEST,PROVO,UT,84604,02/16/2017 12:00:00 AM,Health,false,Quality of Life and Care Deficiencies,"Assist those residents who need help with eating/drinking, grooming and personal and oral hygiene.",312,D,"Deficient, Provider has date of correction",04/10/2017 12:00:00 AM,3,true,false,"1001 NORTH 500 WEST PROVO, UT 84604 (40.24745, -111.667422)",04/01/2020 12:00:00 AM,,
465146,AVALON VALLEY REHABILITATION,2472 SOUTH 300 EAST,SALT LAKE CITY,UT,84115,11/26/2019 12:00:00 AM,Health,false,Administration Deficiencies,"Provide timely, quality laboratory services/tests to meet the needs of residents.",770,D,"Deficient, Provider has date of correction",01/17/2020 12:00:00 AM,1,true,false,"2472 SOUTH 300 EAST SALT LAKE CITY, UT 84115 (40.717553, -111.882612)",04/01/2020 12:00:00 AM,,
465117,SOUTH OGDEN POST- ACUTE,5540 SOUTH 1050 EAST,OGDEN,UT,84405,02/21/2019 12:00:00 AM,Health,false,Administration Deficiencies,Provide or obtain laboratory tests/services when ordered and promptly tell the ordering practitioner of the results.,773,D,"Deficient, Provider has date of correction",04/30/2019 12:00:00 AM,1,true,false,"5540 SOUTH 1050 EAST OGDEN, UT 84405 (41.162569, -111.952649)",04/01/2020 12:00:00 AM,,
465147,ROCKY MOUNTAIN CARE - THE LODGE,544 EAST 1200 SOUTH,HEBER CITY,UT,84032,10/15/2019 12:00:00 AM,Health,false,Resident Rights Deficiencies,"Honor the resident's right to a safe, clean, comfortable and homelike environment, including but not limited to receiving treatment and supports for daily living safely.",584,E,"Deficient, Provider has date of correction",11/09/2019 12:00:00 AM,1,true,false,"544 EAST 1200 SOUTH HEBER CITY, UT 84032 (40.49279, -111.403588)",04/01/2020 12:00:00 AM,,
465168,ROCKY MOUNTAIN CARE - RIVERTON,3419 WEST 12600 SOUTH,RIVERTON,UT,84065,02/12/2018 12:00:00 AM,Health,false,Quality of Life and Care Deficiencies,Provide appropriate pressure ulcer care and prevent new ulcers from developing.,686,G,"Deficient, Provider has date of correction",03/09/2018 12:00:00 AM,2,true,false,"3419 WEST 12600 SOUTH RIVERTON, UT 84065 (40.522216, -111.972362)",04/01/2020 12:00:00 AM,,
465147,ROCKY MOUNTAIN CARE - THE LODGE,544 EAST 1200 SOUTH,HEBER CITY,UT,84032,09/27/2018 12:00:00 AM,Health,false,Resident Rights Deficiencies,"Provide timely notification to the resident, and if applicable to the resident representative and ombudsman, before transfer or discharge, including appeal rights.",623,D,"Deficient, Provider has date of correction",10/15/2018 12:00:00 AM,2,true,false,"544 EAST 1200 SOUTH HEBER CITY, UT 84032 (40.49279, -111.403588)",04/01/2020 12:00:00 AM,,
465137,RED CLIFFS HEALTH AND REHAB,1745 EAST 280 NORTH,ST GEORGE,UT,84790,10/26/2017 12:00:00 AM,Health,false,Resident Rights Deficiencies,Provide care for residents in a way that maintains or improves their dignity and respect in full recognition of their individuality.,241,D,"Deficient, Provider has date of correction",12/13/2017 12:00:00 AM,3,true,false,"1745 EAST 280 NORTH ST GEORGE, UT 84790 (37.113132, -113.546401)",04/01/2020 12:00:00 AM,,
465184,CASCADES AT RIVERWALK,1012 WEST JORDAN RIVER BOULEVARD,MIDVALE,UT,84047,08/17/2017 12:00:00 AM,Health,false,Quality of Life and Care Deficiencies,Provide activities to meet the interests and needs of each resident.,248,E,"Deficient, Provider has date of correction",10/31/2017 12:00:00 AM,3,true,false,"1012 WEST JORDAN RIVER BOULEVARD MIDVALE, UT 84047 (40.623815, -111.920813)",04/01/2020 12:00:00 AM,,
465117,SOUTH OGDEN POST- ACUTE,5540 SOUTH 1050 EAST,OGDEN,UT,84405,01/29/2018 12:00:00 AM,Health,false,Resident Assessment and Care Planning Deficiencies,Create and put into place a plan for meeting the resident's most immediate needs within 48 hours of being admitted,655,D,"Deficient, Provider has date of correction",02/28/2018 12:00:00 AM,2,true,false,"5540 SOUTH 1050 EAST OGDEN, UT 84405 (41.162569, -111.952649)",04/01/2020 12:00:00 AM,,
46A071,"LOMOND PEAK NURSING AND REHABILITATION, LLC",524 EAST 800 NORTH,OGDEN,UT,84404,11/15/2018 12:00:00 AM,Health,false,"Freedom from Abuse, Neglect, and Exploitation Deficiencies","Protect each resident from all types of abuse such as physical, mental, sexual abuse, physical punishment, and neglect by anybody.",600,D,"Deficient, Provider has date of correction",01/04/2019 12:00:00 AM,3,true,true,"524 EAST 800 NORTH OGDEN, UT 84404 (41.272092, -111.966274)",04/01/2020 12:00:00 AM,,
465178,STONEHENGE OF AMERICAN FORK,538 SOUTH 500 EAST,AMERICAN FORK,UT,84003,03/29/2017 12:00:00 AM,Health,false,Nursing and Physician Services Deficiencies,"Make sure that doctors visit residents regularly, as required.",387,E,"Deficient, Provider has date of correction",05/26/2017 12:00:00 AM,3,true,false,"538 SOUTH 500 EAST AMERICAN FORK, UT 84003 (40.366507, -111.785464)",04/01/2020 12:00:00 AM,,
465144,SEASONS HEALTHCARE AND REHABILITATION,242 NORTH 200 WEST,ST GEORGE,UT,84770,04/11/2019 12:00:00 AM,Health,false,Pharmacy Service Deficiencies,Ensure that residents are free from significant medication errors.,760,E,"Deficient, Provider has date of correction",05/24/2019 12:00:00 AM,1,true,false,"242 NORTH 200 WEST ST GEORGE, UT 84770 (37.112209, -113.587509)",04/01/2020 12:00:00 AM,,
46A058,FAIRVIEW CARE CENTER EAST,455 SOUTH 900 EAST,SALT LAKE CITY,UT,84102,08/05/2019 12:00:00 AM,Health,false,"Freedom from Abuse, Neglect, and Exploitation Deficiencies","Protect each resident from all types of abuse such as physical, mental, sexual abuse, physical punishment, and neglect by anybody.",600,D,"Deficient, Provider has date of correction",09/20/2019 12:00:00 AM,1,true,true,"455 SOUTH 900 EAST SALT LAKE CITY, UT 84102 (40.759218, -111.865329)",04/01/2020 12:00:00 AM,,
465152,BELLA TERRA ST GEORGE,178 SOUTH 1200 EAST,ST GEORGE,UT,84790,11/21/2019 12:00:00 AM,Health,false,"Freedom from Abuse, Neglect, and Exploitation Deficiencies","Not hire anyone with a finding of abuse, neglect, exploitation, or theft.",606,D,"Deficient, Provider has date of correction",01/07/2020 12:00:00 AM,1,true,false,"178 SOUTH 1200 EAST ST GEORGE, UT 84790 (37.105013, -113.557846)",04/01/2020 12:00:00 AM,,
465125,ROCKY MOUNTAIN CARE - COTTAGE ON VINE,835 EAST VINE STREET,MURRAY,UT,84107,01/08/2020 12:00:00 AM,Health,false,Administration Deficiencies,Provide or obtain laboratory tests/services when ordered and promptly tell the ordering practitioner of the results.,773,D,"Deficient, Provider has date of correction",02/27/2020 12:00:00 AM,1,true,false,"835 EAST VINE STREET MURRAY, UT 84107 (40.645038, -111.86852)",04/01/2020 12:00:00 AM,,
465144,SEASONS HEALTHCARE AND REHABILITATION,242 NORTH 200 WEST,ST GEORGE,UT,84770,03/08/2018 12:00:00 AM,Health,false,Resident Assessment and Care Planning Deficiencies,"Develop and implement a complete care plan that meets all the resident's needs, with timetables and actions that can be measured.",656,D,"Deficient, Provider has date of correction",05/01/2018 12:00:00 AM,2,true,false,"242 NORTH 200 WEST ST GEORGE, UT 84770 (37.112209, -113.587509)",04/01/2020 12:00:00 AM,,
465125,ROCKY MOUNTAIN CARE - COTTAGE ON VINE,835 EAST VINE STREET,MURRAY,UT,84107,12/20/2018 12:00:00 AM,Health,false,Nursing and Physician Services Deficiencies,Provide enough nursing staff every day to meet the needs of every resident, and have a licensed nurse in charge on each shift.,725,E,"Deficient, Provider has date of correction",02/01/2019 12:00:00 AM,2,true,true,"835 EAST VINE STREET MURRAY, UT 84107 (40.645038, -111.86852)",04/01/2020 12:00:00 AM,
46A070,CANYONLANDS CARE CENTER,390 WEST WILLIAMS WAY,MOAB,UT,84532,08/21/2018 12:00:00 AM,Health,false,"Freedom from Abuse, Neglect, and Exploitation Deficiencies","Timely report suspected abuse, neglect, or theft and report the results of the investigation to proper authorities.",609,D,"Deficient, Provider has date of correction",10/31/2018 12:00:00 AM,2,false,true,"390 WEST WILLIAMS WAY MOAB, UT 84532 (38.574334, -109.558229)",04/01/2020 12:00:00 AM,,
465163,NORTH CANYON CARE CENTER,350 SOUTH 400 EAST,BOUNTIFUL,UT,84010,08/30/2018 12:00:00 AM,Health,false,Pharmacy Service Deficiencies,Ensure each resident�s drug regimen must be free from unnecessary drugs.,757,D,"Deficient, Provider has date of correction",10/15/2018 12:00:00 AM,2,true,false,"350 SOUTH 400 EAST BOUNTIFUL, UT 84010 (40.885771, -111.87236)",04/01/2020 12:00:00 AM,,
465170,ASPEN RIDGE OF UTAH VALLEY,1992 SOUTH COLUMBIA LANE,OREM,UT,84097,01/17/2018 12:00:00 AM,Health,false,Resident Assessment and Care Planning Deficiencies,"Develop the complete care plan within 7 days of the comprehensive assessment; and prepared, reviewed, and revised by a team of health professionals.",657,E,"Deficient, Provider has date of correction",02/07/2018 12:00:00 AM,2,true,false,"1992 SOUTH COLUMBIA LANE OREM, UT 84097 (40.261142, -111.680612)",04/01/2020 12:00:00 AM,,
465185,"MILLCREEK REHABILITATION AND NURSING, LLC",3520 SOUTH HIGHLAND DRIVE,SALT LAKE CITY,UT,84106,08/15/2018 12:00:00 AM,Health,false,Pharmacy Service Deficiencies,Ensure medication error rates are not 5 percent or greater.,759,D,"Deficient, Provider has date of correction",11/01/2018 12:00:00 AM,2,true,false,,04/01/2020 12:00:00 AM,,
465163,NORTH CANYON CARE CENTER,350 SOUTH 400 EAST,BOUNTIFUL,UT,84010,06/08/2017 12:00:00 AM,Health,false,Administration Deficiencies,Give or get quality laboratory services/tests in a timely manner to meet the needs of residents.,502,D,"Deficient, Provider has date of correction",06/26/2017 12:00:00 AM,3,true,false,"350 SOUTH 400 EAST BOUNTIFUL, UT 84010 (40.885771, -111.87236)",04/01/2020 12:00:00 AM,,
465165,MISSION AT MAPLE SPRINGS,1010 SOUTH MEDICAL DRIVE,BRIGHAM,UT,84302,10/26/2017 12:00:00 AM,Health,false,Environmental Deficiencies,Ensure that a nursing home area is free from accident hazards and provide adequate supervision to prevent avoidable accidents.,323,D,"Deficient, Provider has date of correction",12/08/2017 12:00:00 AM,3,true,false,"1010 SOUTH MEDICAL DRIVE BRIGHAM, UT 84302 (41.489426, -112.025927)",04/01/2020 12:00:00 AM,,
465116,ROCKY MOUNTAIN CARE - LOGAN,1480 NORTH 400 EAST,LOGAN,UT,84341,08/11/2016 12:00:00 AM,Health,false,Pharmacy Service Deficiencies,"Keep the rate of medication errors (wrong drug, wrong dose, wrong time) to less than 5%.",332,D,"Deficient, Provider has date of correction",09/16/2016 12:00:00 AM,3,true,false,"1480 NORTH 400 EAST LOGAN, UT 84341 (41.75881, -111.823986)",04/01/2020 12:00:00 AM,,
465146,AVALON VALLEY REHABILITATION,2472 SOUTH 300 EAST,SALT LAKE CITY,UT,84115,11/26/2019 12:00:00 AM,Health,false,"Freedom from Abuse, Neglect, and Exploitation Deficiencies",Respond appropriately to all alleged violations.,610,F,"Deficient, Provider has date of correction",01/17/2020 12:00:00 AM,1,true,true,"2472 SOUTH 300 EAST SALT LAKE CITY, UT 84115 (40.717553, -111.882612)",04/01/2020 12:00:00 AM,,
465119,PROVO REHABILITATION AND NURSING,1001 NORTH 500 WEST,PROVO,UT,84604,02/13/2019 12:00:00 AM,Health,false,Resident Rights Deficiencies,"Honor the resident's right to a safe, clean, comfortable and homelike environment, including but not limited to receiving treatment and supports for daily living safely.",584,D,"Deficient, Provider has date of correction",04/01/2019 12:00:00 AM,2,false,true,"1001 NORTH 500 WEST PROVO, UT 84604 (40.24745, -111.667422)",04/01/2020 12:00:00 AM,,
465150,WILLIAM E CHRISTOFFERSEN SALT LAKE VETERANS HOME,700 SOUTH FOOTHILL DRIVE,SALT LAKE CITY,UT,84113,12/19/2019 12:00:00 AM,Health,false,Quality of Life and Care Deficiencies,Ensure residents do not lose the ability to perform activities of daily living unless there is a medical reason.,676,D,"Deficient, Provider has date of correction",02/14/2020 12:00:00 AM,1,true,false,"700 SOUTH FOOTHILL DRIVE SALT LAKE CITY, UT 84113 (40.752615, -111.831915)",04/01/2020 12:00:00 AM,,
465186,MAPLE SPRINGS SENIOR LIVING,350 EAST 2200 NORTH,NORTH LOGAN,UT,84341,07/18/2018 12:00:00 AM,Health,false,Administration Deficiencies,Arrange for the provision of hospice services or assist the resident in transferring to a facility that will arrange for the provision of hospice services.,849,D,"Deficient, Provider has date of correction",08/11/2018 12:00:00 AM,2,true,false,"350 EAST 2200 NORTH NORTH LOGAN, UT 84341 (41.772229, -111.826913)",04/01/2020 12:00:00 AM,,
465149,BROOKDALE SALT LAKE CITY SNF,76 SOUTH 500 EAST,SALT LAKE CITY,UT,84102,12/11/2017 12:00:00 AM,Health,false,Pharmacy Service Deficiencies,Ensure that residents are free from significant medication errors.,760,D,"Deficient, Provider has date of correction",01/31/2018 12:00:00 AM,2,true,false,"76 SOUTH 500 EAST SALT LAKE CITY, UT 84102 (40.767657, -111.876785)",04/01/2020 12:00:00 AM,,
46A064,PINE CREEK REHABILITATION AND NURSING,876 WEST 700 SOUTH,SALT LAKE CITY,UT,84104,02/23/2017 12:00:00 AM,Health,false,"Freedom from Abuse, Neglect, and Exploitation Deficiencies","Protect each resident from all abuse, physical punishment, and involuntary separation from others.",223,K,"Deficient, Provider has date of correction",04/07/2017 12:00:00 AM,3,true,false,"876 WEST 700 SOUTH SALT LAKE CITY, UT 84104 (40.754109, -111.916306)",04/01/2020 12:00:00 AM,,
465147,ROCKY MOUNTAIN CARE - THE LODGE,544 EAST 1200 SOUTH,HEBER CITY,UT,84032,07/12/2017 12:00:00 AM,Health,false,Pharmacy Service Deficiencies,Provide routine and emergency drugs through a licensed pharmacist and only under the general supervision of a licensed nurse.,425,E,"Deficient, Provider has date of correction",07/29/2017 12:00:00 AM,3,true,true,"544 EAST 1200 SOUTH HEBER CITY, UT 84032 (40.49279, -111.403588)",04/01/2020 12:00:00 AM,,
465144,SEASONS HEALTHCARE AND REHABILITATION,242 NORTH 200 WEST,ST GEORGE,UT,84770,04/11/2019 12:00:00 AM,Health,false,Pharmacy Service Deficiencies,"Ensure a licensed pharmacist perform a monthly drug regimen review, including the medical chart, following irregularity reporting guidelines in developed policies and procedures.",756,D,"Deficient, Provider has date of correction",05/24/2019 12:00:00 AM,1,true,false,"242 NORTH 200 WEST ST GEORGE, UT 84770 (37.112209, -113.587509)",04/01/2020 12:00:00 AM,,
465129,PARKWAY HEALTH CENTER,55 SOUTH PROFESSIONAL WAY,PAYSON,UT,84651,02/27/2018 12:00:00 AM,Health,false,Nutrition and Dietary Deficiencies,"Ensure food and drink is palatable, attractive, and at a safe and appetizing temperature.",804,E,"Deficient, Provider has date of correction",04/03/2018 12:00:00 AM,2,true,false,"55 SOUTH PROFESSIONAL WAY PAYSON, UT 84651 (40.043426, -111.712251)",04/01/2020 12:00:00 AM,,
465173,STONEHENGE OF RICHFIELD,125 EAST 600 NORTH,RICHFIELD,UT,84701,03/22/2018 12:00:00 AM,Health,false,Quality of Life and Care Deficiencies,"Provide appropriate care for a resident to maintain and/or improve range of motion (ROM), limited ROM and/or mobility, unless a decline is for a medical reason.",688,D,"Deficient, Provider has date of correction",06/01/2018 12:00:00 AM,2,true,false,"125 EAST 600 NORTH RICHFIELD, UT 84701 (38.776536, -112.083405)",04/01/2020 12:00:00 AM,,
